,Short_Ticker,Name,Sector
284,ATC-G,Atlas Corp [Atlas/Pg],Asda store workers win equal pay fight in Supreme Court
285,ATC-H,Atlas Corp [Atlas/Ph],Asda store workers win equal pay fight in Supreme Court
286,ATC-I,Atlas Corp [Atlas/Pi],Asda store workers win equal pay fight in Supreme Court
287,ATCO,Atlas Corp,Financial Services
288,ATEN,A10 Networks Inc,Technology
289,ATGE,Adtalem Global Education Inc,Consumer Defensive
290,ATH,Athene Holding Ltd,Financial Services
291,ATH-A,Athene Hld Ltd [Ath/Pa],Asda store workers win equal pay fight in Supreme Court
292,ATH-B,Antah Hlds Ltd,Asda store workers win equal pay fight in Supreme Court
293,ATH-C,Athene Hldg Ltd,Asda store workers win equal pay fight in Supreme Court
294,ATH-D,Athene Holding Ltd,Asda store workers win equal pay fight in Supreme Court
295,ATH.U,Athena Technology Acquisition Corp,Asda store workers win equal pay fight in Supreme Court
296,ATHM,Autohome Inc,Communication Services
297,ATI,Allegheny Technologies Inc,Industrials
298,ATKR,Atkore Inc,Industrials
299,ATM.U,Altimar Acquisition Corp II [Atmr.U],Asda store workers win equal pay fight in Supreme Court
300,ATO,Atmos Energy Corp,Utilities
301,ATR,Aptargroup,Consumer Cyclical
302,ATTO,Atento S.A.,Industrials
303,ATUS,Altice USA Inc Cl A,Communication Services
304,AU,Anglogold Ashanti Ltd,Basic Materials
305,AUS.U,Austerlitz Acquisition Corporation I,Asda store workers win equal pay fight in Supreme Court
306,AUY,Yamana Gold,Basic Materials
307,AVA,Avista Corp,Utilities
308,AVA.U,Avanti Acquisition Corp [Avan.U],Asda store workers win equal pay fight in Supreme Court
309,AVA.W,Avanti Acquisition Corp [Avan/W],Asda store workers win equal pay fight in Supreme Court
310,AVAL,Grupo Aval Acciones Y Valores S,Financial Services
311,AVAN,Avanti Acquisition Corp Cl A,Financial Services
312,AVB,Avalonbay Communities,Real Estate
313,AVD,American Vanguard Corp,Basic Materials
314,AVK,Advent Claymore Convertible Securities,Financial Services
315,AVLR,Avalara Inc,Technology
316,AVNS,Avanos Medical Inc,Healthcare
317,AVNT,Avient Corp,Basic Materials
318,AVT-A,Avantor Inc [Avtr/Pa],Asda store workers win equal pay fight in Supreme Court
319,AVTR,Avantor Inc,Basic Materials
320,AVY,Avery Dennison Corp,Industrials
321,AVYA,Avaya Holdings Corp,Technology
322,AWF,Alliancebernstein Global High Income,Financial Services
323,AWI,Armstrong World Industries Inc,Industrials
324,AWK,American Water Works,Utilities
325,AWP,Aberdeen Global Premier Properties Fund,Financial Services
326,AWR,American States Water Company,Utilities
327,AX,Axos Financial Inc,Financial Services
328,AXL,American Axle & Manufacturing,Consumer Cyclical
329,AXO,Axos Financial Inc,
330,AXP,American Express Company,Financial Services
331,AXR,Amrep Corp,Real Estate
332,AXS,Axis Capital Holdings,Financial Services
333,AXS-E,Axis Capital Holdings Ltd [Axs/Pe],Asda store workers win equal pay fight in Supreme Court
334,AXTA,Axalta Coating Systems Ltd,Basic Materials
335,AYI,Acuity Brands Inc,Industrials
336,AYX,Alteryx Inc,Technology
337,AZEK,The Azek Company Inc Cl A,Industrials
338,AZO,Autozone,Consumer Cyclical
339,AZRE,Azure Power Global Ltd,Utilities
340,AZUL,Azul S.A. ADR,Industrials
341,AZZ,Azz Inc,Industrials
342,B,Barnes Group,Industrials
343,BA,Boeing Company,Industrials
344,BABA,Alibaba Group Holding,Consumer Cyclical
345,BAC,Bank of America Corp,Financial Services
346,BAC-A,Bank of America Corp [Bac/Pa],Asda store workers win equal pay fight in Supreme Court
347,BAC-B,Bank of America Corp [Bac/Pb],Asda store workers win equal pay fight in Supreme Court
348,BAC-E,Bank of America Corp [Bac/Pe],Asda store workers win equal pay fight in Supreme Court
349,BAC-K,Bank of America Corp [Bac/Pk],Asda store workers win equal pay fight in Supreme Court
350,BAC-L,Bank of America Corp [Bac/Pl],Asda store workers win equal pay fight in Supreme Court
351,BAC-M,Bank of America Corp [Bac/Pm],Asda store workers win equal pay fight in Supreme Court
352,BAC-N,Bank of America Corp Prf Perpetual USD,Asda store workers win equal pay fight in Supreme Court
353,BAC-O,Bank of America Corp,Asda store workers win equal pay fight in Supreme Court
354,BAC-P,Bank of America Corp,Asda store workers win equal pay fight in Supreme Court
355,BAF,Blackrock Income Inv Quality Trust,
356,BAH,Booz Allen Hamilton Holding Corp,Industrials
357,BAK,Braskem S.A.,Basic Materials
358,BALY,Bally's Corp,Consumer Cyclical
359,BAM,Brookfield Asset Management Inc,Financial Services
360,BAMH,Brookfield Finance Inc 4.625%,
361,BAMI,Brookfield Finance Inc 4.50%,
362,BAN-D,Banc of California Inc [Banc/Pd],Asda store workers win equal pay fight in Supreme Court
363,BAN-E,Banc of California Inc [Banc/Pe],Asda store workers win equal pay fight in Supreme Court
364,BANC,First Pactrust Bancorp,Financial Services
365,BAP,Credicorp Ltd,Financial Services
366,BAX,Baxter International Inc,Healthcare
367,BB,Blackberry Ltd,Technology
368,BBAR,Bbva Banco Frances S.A.,Financial Services
369,BBD,Banco Bradesco S.A.,Financial Services
370,BBDC,Barings Bdc Inc,Financial Services
371,BBDO,Banco Bradesco S.A.,Financial Services
372,BBF,Blackrock Muni Income Trust,Financial Services
373,BBK,Blackrock Muni Trust,
374,BBL,Bhp Billiton Plc,Basic Materials
375,BBN,Balckrock Build America Trust,Financial Services
376,BBU,Brookfield Business Partners LP,Industrials
377,BBVA,Banco Bilbao Viscaya Argentaria S.A.,Financial Services
378,BBW,Build-A-Bear Workshop,Consumer Cyclical
379,BBY,Best Buy Company,Consumer Cyclical
380,BC,Brunswick Corp,Consumer Cyclical
381,BC-A,Brunswick Corp [Bc/Pa],Asda store workers win equal pay fight in Supreme Court
382,BC-B,Brunswick Corp [Bc/Pb],Asda store workers win equal pay fight in Supreme Court
383,BC-C,Brunswick Corp [Bc/Pc],Asda store workers win equal pay fight in Supreme Court
384,BCAT,Blackrock Capital Allocation Trust,
385,BCC,Boise Cascade L.L.C.,Basic Materials
386,BCE,BCE Inc,Communication Services
387,BCEI,Bonanza Creek Energy Inc,Energy
388,BCH,Banco DE Chile,Financial Services
389,BCO,Brink's Company,Industrials
390,BCS,Barclays Plc,Financial Services
391,BCSF,Bain Capital Specialty Finance Inc,Financial Services
392,BCX,Blackrock Resources,Financial Services
393,BDC,Belden Inc,Industrials
394,BDJ,Blackrock Enhanced Dividend Achievers,Financial Services
395,BDN,Brandywine Realty Trust,Real Estate
396,BDX,Becton Dickinson and Company,Healthcare
397,BDXB,Becton Dickinson & CO,Healthcare
398,BE,Bloom Energy Corp Cl A,Industrials
399,BEDU,Bright Scholar Education Holdings Ltd,Consumer Defensive
400,BEKE,Ke Holdings Inc ADR,Real Estate
401,BEN,Franklin Resources,Financial Services
402,BEP,Brookfield Renewable,Utilities
403,BEP-A,Brookfield Renewable Partners LP 5.25%,Asda store workers win equal pay fight in Supreme Court
404,BEPC,Brookfield Renewable Corp,Utilities
405,BERY,Berry Global Group,Consumer Cyclical
406,BEST,Best Inc,Industrials
407,BF.A,Brown Forman Inc Cl A,
408,BF.B,Brown Forman Inc Cl B,
409,BFAM,Bright Horizons Family Solutions Inc,Consumer Cyclical
410,BFK,Blackrock Muni Income Trust,Financial Services
411,BFL.W,Butterfly Network Inc WT,Asda store workers win equal pay fight in Supreme Court
412,BFLY,Butterfly Network Inc,Healthcare
413,BFS,Saul Centers,Real Estate
414,BFS-D,Saul Ctrs Inc [Bfs/Pd],Asda store workers win equal pay fight in Supreme Court
415,BFS-E,Saul Centers Inc Prf Perpetual USD Ser E,Asda store workers win equal pay fight in Supreme Court
416,BFT,Foley Trasimene Acquisition Corp II Cl A,Financial Services
417,BFT.U,Foley Trasimene Acquisition Corp II,Asda store workers win equal pay fight in Supreme Court
418,BFT.W,Foley Trasimene Acquisition Corp II WT,Asda store workers win equal pay fight in Supreme Court
419,BFY,Blackrock New York Muni Trust II,Financial Services
420,BFZ,Blackrock California Muni Trust,Financial Services
421,BG,Bunge Ltd,Consumer Defensive
422,BGB,Blackstone / Gso Strategic Cre,Financial Services
423,BGH,Babson Capital Global Short Du,Financial Services
424,BGIO,Blackrock 2022 Global Income Opportunity,Financial Services
425,BGR,Blackrock Energy and Resources Trust,Financial Services
426,BGS,B&G Foods Holdings,Consumer Defensive
427,BGS.U,Build Acquisition Corp [Bgsx.U],Asda store workers win equal pay fight in Supreme Court
428,BGSF,Bgsf Inc,Industrials
429,BGT,Blackrock Global,Financial Services
430,BGX,Blackstone Long-Short Credit Income Fund,Financial Services
431,BGY,Blackrock International,Financial Services
432,BH,Biglari Holdings Inc,Consumer Cyclical
433,BH.A,Biglari Holdings Inc Cl A,Asda store workers win equal pay fight in Supreme Court
434,BHC,Bausch Health Companies Inc,Healthcare
435,BHE,Benchmark Electronics,Technology
436,BHK,Blackrock Core Trust,Financial Services
437,BHLB,Berkshire Hills Bancorp,Financial Services
438,BHP,Bhp Billiton Ltd,Basic Materials
439,BHR,Braemar Hotels & Resorts Inc,Real Estate
440,BHR-B,Braemar Hotels & Resorts Inc [Bhr/Pb],Asda store workers win equal pay fight in Supreme Court
441,BHR-D,Braemar Hotels & Resorts Inc [Bhr/Pd],Asda store workers win equal pay fight in Supreme Court
442,BHV,Blackrock Virginia Muni Trust,Financial Services
443,BHVN,Biohaven Pharmaceutical Holding Company,Healthcare
444,BIF,Boulder Growth & Income Fund Inc,Financial Services
445,BIG,Big Lots,Consumer Defensive
446,BILL,Bill.com Holdings Inc,Technology
447,BIO,Bio-Rad Laboratories,Healthcare
448,BIO.B,Bio Rad Labs Cl B,
